encoder,theme,cid,canon_sign,alt_sign,best_cluster,jaccard,ok
bge-small,Parsing,54,-1,-1,34,0.47,1
bge-small,MachineTranslation,43,-1,-1,89,0.623,1
bge-small,Dialogue,11,-1,-1,9,0.742,1
bge-small,QA,68,-1,-1,38,0.257,1
bge-small,Summarization,7,-1,-1,21,0.702,1
bge-small,Multimodal,6,1,1,22,0.538,1
bge-small,Reasoning,72,1,1,79,0.197,1
bge-small,Agents,46,1,1,66,0.28,1
bge-small,LargeModelTuning,78,1,1,87,0.094,1
bge-small,Retrieval,57,1,1,26,0.366,1
bge-small,PrefOptimization,39,1,1,67,0.372,1
bge-small,LLMReasoning,73,1,1,79,0.113,1
bge-small,Adversarial,8,1,-1,39,0.344,0
bge-small,ModelAdaptation,56,1,1,82,0.107,1
bge-small,Social,37,1,1,64,0.212,1
nomic,Parsing,54,-1,-1,50,0.213,1
nomic,MachineTranslation,43,-1,-1,89,0.567,1
nomic,Dialogue,11,-1,-1,23,0.515,1
nomic,QA,68,-1,-1,106,0.24,1
nomic,Summarization,7,-1,-1,15,0.679,1
nomic,Multimodal,6,1,1,68,0.23,1
nomic,Reasoning,72,1,1,100,0.278,1
nomic,Agents,46,1,1,33,0.161,1
nomic,LargeModelTuning,78,1,1,102,0.169,1
nomic,Retrieval,57,1,1,104,0.224,1
nomic,PrefOptimization,39,1,1,28,0.552,1
nomic,LLMReasoning,73,1,1,100,0.136,1
nomic,Adversarial,8,1,1,25,0.351,1
nomic,ModelAdaptation,56,1,-1,67,0.068,0
nomic,Social,37,1,1,81,0.188,1
e5-large,Parsing,54,-1,-1,32,0.112,1
e5-large,MachineTranslation,43,-1,-1,38,0.337,1
e5-large,Dialogue,11,-1,-1,24,0.529,1
e5-large,QA,68,-1,0,54,0.117,0
e5-large,Summarization,7,-1,-1,16,0.206,1
e5-large,Multimodal,6,1,1,48,0.191,1
e5-large,Reasoning,72,1,1,23,0.069,1
e5-large,Agents,46,1,1,35,0.198,1
e5-large,LargeModelTuning,78,1,1,20,0.065,1
e5-large,Retrieval,57,1,0,54,0.015,0
e5-large,PrefOptimization,39,1,1,45,0.467,1
e5-large,LLMReasoning,73,1,1,44,0.031,1
e5-large,Adversarial,8,1,0,37,0.343,0
e5-large,ModelAdaptation,56,1,1,20,0.247,1
e5-large,Social,37,1,-1,25,0.182,0
